,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 20:21:00,-1,-0.00834374,0.324731418,-0.200591995,-0.003364574,-0.002009882,0.005861891,0.006333501
2018-02-08 20:22:00,-1,-0.005560796,0.262261385,-0.407257187,-0.00351118,-0.002232298,-6.31485E-05,0.004429738
2018-02-08 20:30:00,-1,-0.030829914,0.665518929,0.081226947,0.001961127,0.006508401,0.007009917,0.010037287
2018-02-08 20:31:00,-1,-0.057974799,0.784887782,0.630955694,0.005486641,0.007887626,0.008179408,0.011176515
2018-02-08 20:34:00,-1,-0.1528864,0.910837522,1.460433486,0.004121123,0.007582866,0.012223885,0.010917806
2018-02-08 23:11:00,-1,-0.145210512,0.056089173,-0.182144091,-0.004353685,0.000951654,-0.002217678,-0.016679703
2018-02-08 23:17:00,-1,-0.11025178,-0.134162897,-0.609347327,0.004384636,0.00397111,0.000991199,-0.011016958
2018-02-08 23:18:00,-1,-0.096433674,-0.050675608,-0.754363173,0.003843171,0.001872718,-0.001381019,-0.01314686
2018-02-08 23:19:00,-1,-0.147157943,0.035049176,-0.899340874,0.000708744,0.001959283,-0.006942541,-0.013803183
2018-02-08 23:20:00,-1,-0.133107241,0.102121393,-0.93946077,-0.001096383,-0.000251349,-0.011756709,-0.016359657
2018-02-08 23:22:00,-1,-0.03393831,0.267335987,-0.898903005,-0.000411721,-0.002806614,-0.00762167,-0.015588807
2018-02-08 23:24:00,-1,-0.081411846,0.395706378,-0.935049137,0.001249654,0.000192012,-0.008760167,-0.012288786
2018-02-08 23:25:00,-1,-0.068321517,0.489608678,-0.900591844,0.000845962,-0.001261268,-0.011043172,-0.014116137
2018-02-08 23:28:00,-1,-0.093138898,0.942003304,0.08518045,-0.002932847,-0.003247656,-0.006646107,-0.01319781
2018-02-08 23:29:00,-1,0.059725272,1.11372424,0.60591356,-0.001056321,-0.008884418,-0.00600154,-0.014046686
2018-02-08 23:33:00,-1,0.031234726,0.935857434,1.576244034,-0.000315735,-0.006927612,0.000123087,-0.0105508
2018-02-08 23:41:00,-1,0.007366038,-1.744800828,2.925092407,0.001062017,0.005310083,0.006356202,0.004620091
2018-02-08 23:43:00,-1,-0.094004872,-1.347842975,1.002528579,0.003225776,0.007099885,0.004500195,0.00254884
2018-02-08 23:45:00,-1,-0.049519916,-1.043617022,-0.195990576,0.005804283,0.008921103,0.006217611,0.006694676
2018-02-08 23:46:00,-1,-0.011598259,-0.875057191,-0.642879646,0.00424356,0.007832799,0.004103802,0.006231935
2018-02-08 23:48:00,-1,0.013715481,-0.644632921,-1.041843708,0.003861652,0.000453008,-0.001701154,0.00429882
2018-02-08 23:49:00,-1,-0.027575387,-0.59662281,-1.113758351,0.001866049,-0.002337306,-0.008498431,0.004288751
2018-02-08 23:51:00,-1,0.046932965,-0.441784563,-1.243209739,0.003574072,0.001040593,-0.009884048,0.004548117
2018-02-08 23:52:00,-1,0.033086262,-0.376271071,-1.227463627,0.00010115,0.000275001,-0.009931629,0.002686787
2018-02-08 23:54:00,-1,0.000310282,-0.377717762,-1.141712445,-0.004195526,-0.00031569,-0.011355385,-0.001603707
2018-02-09 00:10:00,-1,0.032966252,-0.853779457,0.527615041,-0.000495257,0.000341759,0.002453917,0.005860005
2018-02-09 00:11:00,-1,0.127411896,-0.904632815,0.280866603,-0.001482106,-0.00032903,0.001619468,0.008165065
2018-02-09 00:13:00,-1,0.077110116,-0.91465828,-0.160956403,-0.000488426,0.000673885,0.001073031,0.010971841
2018-02-09 00:16:00,-1,0.072592857,-0.730013278,-0.956087585,0.001154787,0.002914354,0.006068648,0.017445171
2018-02-09 00:18:00,-1,-0.024019913,-0.610399575,-1.323251497,0.00116288,0.001820993,0.009267897,0.017548624
2018-02-09 00:21:00,-1,-0.016895925,-0.234061641,-1.798100667,0.001757537,0.00194914,0.009621714,0.019559785
2018-02-09 00:22:00,-1,-0.019745299,-0.103740249,-1.856050595,0.001375915,0.001532356,0.007601631,0.018578174
2018-02-09 00:23:00,-1,-0.013829009,0.022060491,-1.872781139,0.000657349,0.000398877,0.006621354,0.01692833
2018-02-09 00:25:00,-1,-0.033536768,0.266422088,-1.760936786,0.00092839,0.001221901,0.009832507,0.017077902
2018-02-09 00:26:00,-1,0.013349966,0.396244584,-1.644212466,0.000191267,0.003145128,0.010539478,0.016705711
2018-02-09 00:28:00,-1,-0.00260753,0.577573629,-1.508738211,-0.000258302,0.007433368,0.010966689,0.015899945
2018-02-09 00:29:00,-1,0.092817802,0.71807789,-1.270828655,-0.00121473,0.007381744,0.012483509,0.015439344
2018-02-09 00:31:00,-1,0.112600431,0.995203874,-0.739041361,0.002953296,0.007657648,0.01293582,0.01705334
2018-02-09 00:34:00,-1,0.102839098,1.569949116,1.164713523,0.008606929,0.008766553,0.009647678,0.01820672
2018-02-09 01:05:00,-1,0.221919198,-0.846571745,1.233999971,-0.001113741,0.008621182,0.011565774,0.017908705
2018-02-09 01:07:00,-1,0.034391633,0.051921976,-0.453611822,0.003204609,0.010655563,0.012510362,0.021660489
2018-02-09 01:09:00,-1,0.099505573,0.190991258,-0.609365906,0.006808841,0.013446361,0.011841821,0.026771984
2018-02-09 01:10:00,-1,0.13848097,0.134376559,-0.722765402,0.009745778,0.012979546,0.01266824,0.026518045
2018-02-09 01:11:00,-1,0.153547444,0.162147523,-0.770423909,0.007709199,0.010969686,0.010450036,0.024505936
2018-02-09 01:12:00,-1,0.063565644,0.174374269,-0.779052662,0.007427153,0.010029506,0.010035838,0.025184571
2018-02-09 01:13:00,-1,0.105236625,0.099534391,-0.828053536,0.006013803,0.0065697,0.006907661,0.023123324
2018-02-09 01:14:00,-1,0.212716472,-0.022830158,-0.856306922,0.006592632,0.006882967,0.006513737,0.021027222
2018-02-09 02:02:00,1,-0.010771769,0.950356202,-0.304540569,0.003734999,0.010424922,0.008558983,0.010218983
2018-02-09 02:04:00,1,-0.058341081,1.0425801,0.292764151,0.006769787,0.007953518,0.004034456,0.006981635
2018-02-09 02:09:00,1,0.444664387,1.447196702,1.779832587,0.001175772,0.001924755,-0.00209198,-0.004715959
2018-02-09 02:13:00,1,0.308713993,1.074545935,-0.11182581,-0.000527775,-0.004544125,-0.005019542,-0.011054872
2018-02-09 02:15:00,1,0.196692375,0.789027622,-0.891564608,0.000398521,-0.00495051,-0.005145076,-0.00990732
2018-02-09 02:20:00,1,0.248516507,0.184297722,-1.734063252,-0.0053469,-0.005380859,-0.005843927,-0.010999426
